LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,33,13571,13604,2342031,1997875,4339906,2342064,2011446,4353510,25185,51174,76359
KLIA2,0,0,0,0,0,0,0,0,0,0,0,0
PULAU PINANG ,0,0,0,1,1,2,1,1,2,0,915,915
KOTA KINABALU,653,2,655,0,0,0,653,2,655,867,2544,3411
KUCHING,734,51,785,0,0,0,734,51,785,963,381,1344
LANGKAWI,0,0,0,0,0,0,0,0,0,0,0,0
JOHOR BAHRU,263738,146144,409882,522500,282712,805212,786238,428856,1215094,0,0,0
KOTA BHARU,53,0,53,0,0,0,53,0,53,0,0,0
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,0,0,0,0,0,0,0,0,0,0,0,0
ALOR SETAR,0,0,0,0,0,0,0,0,0,0,0,0
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,0,0,0,0,0,0,0,0,0,0,0,0
KUANTAN,0,0,0,0,0,0,0,0,0,0,0,0
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,0,0,0,0,0,0,0,0,0,0,0,0
LABUAN,2,491,493,0,0,0,2,491,493,0,0,0
LAHAD DATU,0,0,0,0,0,0,0,0,0,0,0,0
SANDAKAN,504,163,667,0,0,0,504,163,667,0,0,0
TAWAU,191,165,356,0,0,0,191,165,356,711,404,1115
BINTULU,47,19,66,0,0,0,47,19,66,0,0,0
MIRI,12040,3407,15447,0,0,0,12040,3407,15447,0,0,0
SIBU,394,0,394,0,0,0,394,0,394,0,0,0
MULU,1442,52,1494,0,0,0,1442,52,1494,0,0,0
LIMBANG,0,98,98,0,0,0,0,98,98,0,0,0
MUKAH,0,0,0,0,0,0,,,,0,0,
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,0,0,0,0,0,0,0,0,0,0,0,0
SEMENANJUNG                         Peninsular,263824,159715,423539,2864532,2280588,5145120,3128356,2440303,5568659,25185,52089,77274
SABAH ,1350,821,2171,0,0,0,1350,821,2171,1578,2948,4526
SARAWAK,14657,3627,18284,0,0,0,14657,3627,18284,963,381,1344
"JUMLAH                                     
Total ",279831,164163,443994,2864532,2280588,5145120,3144363,2444751,5589114,27726,55418,83144
,,,,,,,,,,,,
SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB),,,,,,,,,,,,
