LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,5942828.223,15050409.42,20993237.64,66654984.18,61143390.64,127798374.8,72597812.4,76193800.06,148791612.5,0,0,0
KLIA2,237091,1051577.782,1288668.782,3677033.864,3494243.592,7171277.456,3914124.864,4545821.374,8459946.238,0,0,0
PULAU PINANG ,2584965.4,1433002,4017967.4,11355081,17025244,28380325,13940046.4,18458246,32398292.4,103920,3399056,3502976
KOTA KINABALU,9270770.75,4076736.25,13347507,766135.68,885239.72,1651375.4,10036906.43,4961975.97,14998882.4,675690,92174,767864
KUCHING,10195795,3393500,13589295,139913,805009,944922,10335708,4198509,14534217,459913,288575,748488
LANGKAWI,18158,18223,36381,0,0,0,18158,18223,36381,0,0,0
JOHOR BAHRU,71518,280911,352429,114175,92388,206563,185693,373299,558992,0,0,0
KOTA BHARU,45704,35961,81665,0,0,0,45704,35961,81665,868,0,868
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,21265,17138,38403,0,0,0,21265,17138,38403,0,0,0
ALOR SETAR,19592,18280,37872,0,0,0,19592,18280,37872,3,0,3
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,1750924.129,5856767.07,7607691.199,7452201.837,5170620.661,12622822.5,9203125.966,11027387.73,20230513.7,0,0,0
KUANTAN,0,0,0,0,0,0,0,0,0,0,0,0
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,828,0,828,0,0,0,828,0,828,0,0,0
LABUAN,459289.05,150127.37,609416.42,2330,43787.57,46117.57,461619.05,193914.94,655533.99,103628.19,206814.41,310442.6
LAHAD DATU,22184,14261,36445,0,0,0,22184,14261,36445,0,0,0
SANDAKAN,35684,83557,119241,0,0,0,35684,83557,119241,1609,0,1609
TAWAU,1066048,1954977,3021025,0,449769,449769,1066048,2404746,3470794,0,17596,17596
BINTULU,35646,11068,46714,0,0,0,35646,11068,46714,70,0,70
MIRI,1783895,346215,2130110,0,0,0,1783895,346215,2130110,2923,0,2923
SIBU,32921,31897,64818,0,0,0,32921,31897,64818,0,0,0
MULU,25712,560,26272,0,0,0,25712,560,26272,0,0,0
LIMBANG,40113,25968,66081,0,0,0,40113,25968,66081,0,0,0
MUKAH,4915,554,5469,0,0,,4915,554,5469,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,22739.34,92127.95,114867.29,0,0,0,22739.34,92127.95,114867.29,27636.69,0,27636.69
SEMENANJUNG                         Peninsular,10692873.75,23762269.27,34455143.02,89253475.88,86925886.89,176179362.8,99946349.63,110688156.2,210634505.8,104791,3399056,3503847
SABAH ,10853975.8,6279658.62,17133634.42,768465.68,1378796.29,2147261.97,11622441.48,7658454.91,19280896.39,780927.19,316584.41,1097511.6
SARAWAK,12141736.34,3901889.95,16043626.29,139913,805009,944922,12281649.34,4706898.95,16988548.29,490542.69,288575,779117.69
"JUMLAH                                     
Total ",33688585.89,33943817.84,67632403.73,90161854.56,89109692.18,179271546.7,123850440.5,123053510,246903950.5,1376260.88,4004215.41,5380476.29
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
