LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,1155,13394,14549,2181000,1562518,3743518,2182155,1575912,3758067,0,103518,103518
KLIA2,0,0,0,0,0,0,0,0,0,0,0,0
PULAU PINANG ,0,0,0,0,91,91,0,91,91,0,0,0
KOTA KINABALU,13809,116,13925,0,0,0,13809,116,13925,0,139,139
KUCHING,42,99,141,0,0,0,42,99,141,0,404,404
LANGKAWI,0,0,0,0,0,0,0,0,0,0,0,0
JOHOR BAHRU,287888,225106,512994,383590,515455,899045,671478,740561,1412039,0,0,0
KOTA BHARU,0,0,0,0,0,0,0,0,0,0,0,0
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,0,0,0,0,0,0,0,0,0,0,0,0
ALOR SETAR,0,0,0,0,0,0,0,0,0,0,0,0
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,0,0,0,0,0,0,0,0,0,0,0,0
KUANTAN,0,0,0,0,0,0,0,0,0,0,0,0
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,0,0,0,0,0,0,0,0,0,0,0,0
LABUAN,116,1447,1563,0,0,0,116,1447,1563,0,0,0
LAHAD DATU,0,0,0,0,0,0,0,0,0,0,0,0
SANDAKAN,0,157,157,0,0,0,0,157,157,0,0,0
TAWAU,152,0,152,0,0,0,152,0,152,0,0,0
BINTULU,4,0,4,0,0,0,4,0,4,0,0,0
MIRI,16,2445,2461,0,0,0,16,2445,2461,0,0,0
SIBU,4,0,4,0,0,0,4,0,4,0,0,0
MULU,582,16,598,0,0,0,582,16,598,0,0,0
LIMBANG,712,38,750,0,0,0,712,38,750,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,0,0,0,0,0,0,0,0,0,0,0,0
SEMENANJUNG                         Peninsular,289043,238500,527543,2564590,2078064,4642654,2853633,2316564,5170197,0,103518,103518
SABAH ,14077,1720,15797,0,0,0,14077,1720,15797,0,139,139
SARAWAK,1360,2598,3958,0,0,0,1360,2598,3958,0,404,404
"JUMLAH                                     
Total ",304480,242818,547298,2564590,2078064,4642654,2869070,2320882,5189952,0,104061,104061
,,,,,,,,,,,,
SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB),,,,,,,,,,,,
