LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,5944310,14871373.45,20815683.45,64801942.76,56984287.36,121786230.1,70746252.76,71855660.81,142601913.6,0,0,0
KLIA2,724659,384872.77,1109531.77,3319671.8,1886021.981,5205693.781,4044330.8,2270894.751,6315225.551,0,0,0
PULAU PINANG ,2319483,1509039,3828522,13339596,15672717,29012313,15659079,17181756,32840835,70055,2585765,2655820
KOTA KINABALU,7902081.336,3971347.465,11873428.8,994161.5161,1089472.161,2083633.677,8896242.852,5060819.626,13957062.48,783605,5458,789063
KUCHING,8171208.26,2726019.4,10897227.66,5678,836335.14,842013.14,8176886.26,3562354.54,11739240.8,234840,141614,376454
LANGKAWI,13410,24970,38380,0,0,0,13410,24970,38380,84,0,84
JOHOR BAHRU,108766,245605,354371,140377,173443,313820,249143,419048,668191,0,0,0
KOTA BHARU,57743,48852,106595,0,0,0,57743,48852,106595,68,0,68
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,24490,21797,46287,0,0,0,24490,21797,46287,0,0,0
ALOR SETAR,22036,22964,45000,0,0,0,22036,22964,45000,0,0,0
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,1107098.16,3665620.275,4772718.435,7429014.373,5048251.65,12477266.02,8536112.533,8713871.925,17249984.46,0,0,0
KUANTAN,17,0,17,0,0,0,17,0,17,3066,0,3066
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,0,0,0,0,0,0,0,0,0,0,0,0
LABUAN,338903.4116,41964,380867.4116,0,20030,20030,338903.4116,61994,400897.4116,730,0,730
LAHAD DATU,23399,14732,38131,0,0,0,23399,14732,38131,0,0,0
SANDAKAN,90386,211640,302026,0,0,0,90386,211640,302026,1238,0,1238
TAWAU,1256616,2681830,3938446,0,402060,402060,1256616,3083890,4340506,5,24920,24925
BINTULU,42584,8756,51340,0,0,0,42584,8756,51340,0,0,0
MIRI,1393530,266443,1659973,0,0,0,1393530,266443,1659973,0,0,0
SIBU,590267.8,142855.84,733123.64,0,0,0,590267.8,142855.84,733123.64,0,0,0
MULU,26162,481,26643,0,0,0,26162,481,26643,0,0,0
LIMBANG,45935,26725,72660,0,0,0,45935,26725,72660,0,0,0
MUKAH,0,0,0,0,0,,0,0,0,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,17984.93226,51487.51613,69472.44839,0,0,0,17984.93226,51487.51613,69472.44839,8351.806452,0,8351.806452
SEMENANJUNG                         Peninsular,10322012.16,20795093.5,31117105.66,89030601.93,79764720.99,168795322.9,99352614.09,100559814.5,199912428.6,73273,2585765,2659038
SABAH ,9611385.747,6921513.465,16532899.21,994161.5161,1511562.161,2505723.677,10605547.26,8433075.626,19038622.89,785578,30378,815956
SARAWAK,10287671.99,3222767.756,13510439.75,5678,836335.14,842013.14,10293349.99,4059102.896,14352452.89,243191.8065,141614,384805.8065
"JUMLAH                                     
Total ",30221069.9,30939374.72,61160444.62,90030441.45,82112618.29,172143059.7,120251511.3,113051993,233303504.4,1102042.806,2757757,3859799.806
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
